"sep=;"
ṷót;вот
synók;сынок
rъskažú;расскажу
ja;я
sáma;сама
takój;такой
tóčk'i;дочки
býla;была
čytýr'i;четыре
rázъ;раза
dóm;дом
p'ir'akrýla;перекрыла
kak;как
vot;вот
srub'í'i;срубили
p'érva;первая
pakrýla;покрыла
trostój;тростой
kъmyšám;камышом
f;в
kalxóz'i;колхозы
n'édъl'i;недели
étъva;этого
što;что
sъlómy;соломы
nabrát';набрать
krýšu;крышу
pakrýt';покрыть
i;и
solóm'i;соломы
nъkról'i;накрыли
krýšy;крыши
vn'ís;вниз
kolós'em;колосьем
nazyválas'a;называлась
krýl'i;крыли
pod;под
lopátu;лопату
znájiš;знаешь
tóže;тоже
xoróšy;хорошие
krýžy;крыши
býl'i;были
pъd;под
lopáty;лопаты
a;а
lopáta;лопата
taká;такая
z;с
zúpšykam'i;зубчиками
byvála;бывала
sam;сам
nъv'ar'xú;наверху
lóžy;ложи
ot;от
snopóf;снопов
nalóžy;наложи
kubýšje;кубышье
kubýšjem;кубышьем
nazyvál'is'e;назывались
bal'šý;большие
tak'íje;такие
kubýšji;кубышьи
v'azál'i;вязались
ee;её
ъný;они
plat'íl'i;платили
za;за
jix;их
da;да
solómu;солому
tam;там
l'íba;либо
p'át';пять
pъdbivája;подбивая
pъdb'ivája;подбивая
s'';с
n'ížnava;нижнего
r'adá;ряда
sámava;самого
v'ar'xá;верха
dváž;дваж
tr'í;три
pa;по
ras;раз
éta;это
trastój;трастой
lánna;ладно
pъtóm;потом
dál'i;дали
solómy;соломы
r'ígu;ригу
v;в
malat'í;молотьи
tъk;так
dadú;даду
n'e;не
pólnъs't'ju;полностью
nazyvá;назва
nazyvájica;называется
vn'is;вниз
kolós's'jim;колосьями
étъ;есть
n'i;ни
naš;наш
v'ét'er;ветер
zajd'ót;зайдет
tak;так
zdymáje;здымае
fs''ó;всё
vóot;вот
abžýlas'a;обжилась
stál'i;стали
davát';давать
štóo;что
na;на
dajú;даю
ommalat'í;умолять
vyb'iráj;выбирай
tagdá;тогда
tvójo;твоё
vál'a;валя
tъ;та
jej;той
vojná;война
náčalas'';началась
č'itýr'i;четыре
góda;года
l';ли
jéj;ей
nu;ну
fs''o;всё
z''d'élъl'i;сделали
z'd'élъl'i;сделали
stal'í;стали
šýf'erъm;шифером
kryt';крыть
šýf'er;шифер
u;у
nas;нас
nazyvájecca;называется
étъm;этим
aɣá;ага
nazyvájicca;называется
znášyt;значит
vad'íl'i;водили
m'etróvyj;метровый
m'itróvy;метровый
